Media Backup Manager 1.6.8 - resolved Cargo package/license inventory
Generated from: cargo metadata --locked --format-version 1
Resolved package records: 503

NAME	VERSION	DECLARED LICENSE	REPOSITORY
smithay-client-toolkit	0.20.0	MIT	https://github.com/smithay/client-toolkit
smithay-clipboard	0.7.3	MIT	https://github.com/smithay/smithay-clipboard
smol_str	0.2.2	MIT OR Apache-2.0	https://github.com/rust-analyzer/smol_str
socket2	0.6.5	MIT OR Apache-2.0	https://github.com/rust-lang/socket2
spirv	0.3.0+sdk-1.3.268.0	Apache-2.0	https://github.com/gfx-rs/rspirv
stable_deref_trait	1.2.1	MIT OR Apache-2.0	https://github.com/storyyeller/stable_deref_trait
static_assertions	1.1.0	MIT OR Apache-2.0	https://github.com/nvzqz/static-assertions-rs
strict-num	0.1.1	MIT	https://github.com/RazrFalcon/strict-num
subtle	2.6.1	BSD-3-Clause	https://github.com/dalek-cryptography/subtle
syn	1.0.109	MIT OR Apache-2.0	https://github.com/dtolnay/syn
syn	2.0.119	MIT OR Apache-2.0	https://github.com/dtolnay/syn
syn	3.0.4	MIT OR Apache-2.0	https://github.com/dtolnay/syn
sync_wrapper	1.0.2	Apache-2.0	https://github.com/Actyx/sync_wrapper
synstructure	0.13.2	MIT	https://github.com/mystor/synstructure
system-configuration	0.7.0	MIT OR Apache-2.0	https://github.com/mullvad/system-configuration-rs
system-configuration-sys	0.6.0	MIT OR Apache-2.0	https://github.com/mullvad/system-configuration-rs
tempfile	3.27.0	MIT OR Apache-2.0	https://github.com/Stebalien/tempfile
termcolor	1.4.1	Unlicense OR MIT	https://github.com/BurntSushi/termcolor
thiserror	1.0.69	MIT OR Apache-2.0	https://github.com/dtolnay/thiserror
thiserror	2.0.20	MIT OR Apache-2.0	https://github.com/dtolnay/thiserror
thiserror-impl	1.0.69	MIT OR Apache-2.0	https://github.com/dtolnay/thiserror
thiserror-impl	2.0.20	MIT OR Apache-2.0	https://github.com/dtolnay/thiserror
tiny-skia	0.11.4	BSD-3-Clause	https://github.com/RazrFalcon/tiny-skia
tiny-skia-path	0.11.4	BSD-3-Clause	https://github.com/RazrFalcon/tiny-skia/tree/master/path
tinystr	0.8.4	Unicode-3.0	https://github.com/unicode-org/icu4x
tinyvec	1.12.0	Zlib OR Apache-2.0 OR MIT	https://github.com/Lokathor/tinyvec
tinyvec_macros	0.1.1	MIT OR Apache-2.0 OR Zlib	https://github.com/Soveu/tinyvec_macros
tokio	1.53.1	MIT	https://github.com/tokio-rs/tokio
tokio-native-tls	0.3.1	MIT	https://github.com/tokio-rs/tls
tokio-rustls	0.26.4	MIT OR Apache-2.0	https://github.com/rustls/tokio-rustls
tokio-util	0.7.19	MIT	https://github.com/tokio-rs/tokio
toml	0.5.11	MIT/Apache-2.0	https://github.com/toml-rs/toml
toml_datetime	1.1.1+spec-1.1.0	MIT OR Apache-2.0	https://github.com/toml-rs/toml
toml_edit	0.25.13+spec-1.1.0	MIT OR Apache-2.0	https://github.com/toml-rs/toml
toml_parser	1.1.3+spec-1.1.0	MIT OR Apache-2.0	https://github.com/toml-rs/toml
tower	0.5.3	MIT	https://github.com/tower-rs/tower
tower-http	0.6.11	MIT	https://github.com/tower-rs/tower-http
tower-layer	0.3.3	MIT	https://github.com/tower-rs/tower
tower-service	0.3.3	MIT	https://github.com/tower-rs/tower
tracing	0.1.44	MIT	https://github.com/tokio-rs/tracing
tracing-attributes	0.1.31	MIT	https://github.com/tokio-rs/tracing
tracing-core	0.1.36	MIT	https://github.com/tokio-rs/tracing
try-lock	0.2.5	MIT	https://github.com/seanmonstar/try-lock
ttf-parser	0.25.1	MIT OR Apache-2.0	https://github.com/harfbuzz/ttf-parser
type-map	0.5.1	MIT/Apache-2.0	https://github.com/kardeiz/type-map
typenum	1.20.1	MIT OR Apache-2.0	https://github.com/paholg/typenum
uds_windows	1.2.1	MIT	https://github.com/haraldh/rust_uds_windows
unicode-ident	1.0.24	(MIT OR Apache-2.0) AND Unicode-3.0	https://github.com/dtolnay/unicode-ident
unicode-segmentation	1.13.3	MIT OR Apache-2.0	https://github.com/unicode-rs/unicode-segmentation
unicode-width	0.1.14	MIT OR Apache-2.0	https://github.com/unicode-rs/unicode-width
unicode-xid	0.2.6	MIT OR Apache-2.0	https://github.com/unicode-rs/unicode-xid
untrusted	0.9.0	ISC	https://github.com/briansmith/untrusted
url	2.5.8	MIT OR Apache-2.0	https://github.com/servo/rust-url
urlencoding	2.1.3	MIT	https://github.com/kornelski/rust_urlencoding
utf8_iter	1.0.4	Apache-2.0 OR MIT	https://github.com/hsivonen/utf8_iter
uuid	1.25.0	Apache-2.0 OR MIT	https://github.com/uuid-rs/uuid
vcpkg	0.2.15	MIT/Apache-2.0	https://github.com/mcgoo/vcpkg-rs
version_check	0.9.5	MIT/Apache-2.0	https://github.com/SergioBenitez/version_check
walkdir	2.5.0	Unlicense/MIT	https://github.com/BurntSushi/walkdir
want	0.3.1	MIT	https://github.com/seanmonstar/want
wasi	0.11.1+wasi-snapshot-preview1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	https://github.com/bytecodealliance/wasi
wasip2	1.0.4+wasi-0.2.12	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	https://github.com/bytecodealliance/wasi-rs
wasm-bindgen	0.2.127	MIT OR Apache-2.0	https://github.com/wasm-bindgen/wasm-bindgen
wasm-bindgen-futures	0.4.77	MIT OR Apache-2.0	https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/futures
wasm-bindgen-macro	0.2.127	MIT OR Apache-2.0	https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/macro
wasm-bindgen-macro-support	0.2.127	MIT OR Apache-2.0	https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/macro-support
wasm-bindgen-shared	0.2.127	MIT OR Apache-2.0	https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/shared
wayland-backend	0.3.17	MIT	https://github.com/smithay/wayland-rs
wayland-client	0.31.15	MIT	https://github.com/smithay/wayland-rs
wayland-csd-frame	0.3.0	MIT	https://github.com/rust-windowing/wayland-csd-frame
wayland-cursor	0.31.14	MIT	https://github.com/smithay/wayland-rs
wayland-protocols	0.32.13	MIT	https://github.com/smithay/wayland-rs
wayland-protocols-experimental	20250721.0.1	MIT	https://github.com/smithay/wayland-rs
wayland-protocols-misc	0.3.12	MIT	https://github.com/smithay/wayland-rs
wayland-protocols-plasma	0.3.12	MIT	https://github.com/smithay/wayland-rs
wayland-protocols-wlr	0.3.12	MIT	https://github.com/smithay/wayland-rs
wayland-scanner	0.31.11	MIT	https://github.com/smithay/wayland-rs
wayland-sys	0.31.11	MIT	https://github.com/smithay/wayland-rs
web-sys	0.3.104	MIT OR Apache-2.0	https://github.com/wasm-bindgen/wasm-bindgen/tree/master/crates/web-sys
web-time	1.1.0	MIT OR Apache-2.0	https://github.com/daxpedda/web-time
webbrowser	1.2.4	MIT OR Apache-2.0	https://github.com/amodm/webbrowser-rs
webpki-roots	1.0.9	CDLA-Permissive-2.0	https://github.com/rustls/webpki-roots
wgpu	22.1.0	MIT OR Apache-2.0	https://github.com/gfx-rs/wgpu
wgpu-core	22.1.0	MIT OR Apache-2.0	https://github.com/gfx-rs/wgpu
wgpu-hal	22.0.0	MIT OR Apache-2.0	https://github.com/gfx-rs/wgpu
wgpu-types	22.0.0	MIT OR Apache-2.0	https://github.com/gfx-rs/wgpu
widestring	1.2.1	MIT OR Apache-2.0	https://github.com/VoidStarKat/widestring-rs
winapi	0.3.9	MIT/Apache-2.0	https://github.com/retep998/winapi-rs
winapi-i686-pc-windows-gnu	0.4.0	MIT/Apache-2.0	https://github.com/retep998/winapi-rs
winapi-util	0.1.11	Unlicense OR MIT	https://github.com/BurntSushi/winapi-util
winapi-x86_64-pc-windows-gnu	0.4.0	MIT/Apache-2.0	https://github.com/retep998/winapi-rs
windows	0.52.0	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows	0.58.0	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-core	0.52.0	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-core	0.58.0	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-core	0.62.2	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-implement	0.58.0	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-implement	0.60.2	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-interface	0.58.0	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-interface	0.59.3	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-link	0.2.1	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-registry	0.6.1	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-result	0.2.0	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-result	0.4.1	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-strings	0.1.0	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-strings	0.5.1	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-sys	0.52.0	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-sys	0.59.0	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-sys	0.60.2	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-sys	0.61.2	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-targets	0.52.6	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows-targets	0.53.5	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows_aarch64_gnullvm	0.52.6	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows_aarch64_gnullvm	0.53.1	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows_aarch64_msvc	0.52.6	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows_aarch64_msvc	0.53.1	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows_i686_gnu	0.52.6	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows_i686_gnu	0.53.1	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows_i686_gnullvm	0.52.6	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows_i686_gnullvm	0.53.1	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows_i686_msvc	0.52.6	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows_i686_msvc	0.53.1	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows_x86_64_gnu	0.52.6	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows_x86_64_gnu	0.53.1	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows_x86_64_gnullvm	0.52.6	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows_x86_64_gnullvm	0.53.1	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows_x86_64_msvc	0.52.6	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
windows_x86_64_msvc	0.53.1	MIT OR Apache-2.0	https://github.com/microsoft/windows-rs
winit	0.30.13	Apache-2.0	https://github.com/rust-windowing/winit
winnow	1.0.4	MIT	https://github.com/winnow-rs/winnow
winres	0.1.12	MIT	https://github.com/mxre/winres
wit-bindgen	0.57.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	https://github.com/bytecodealliance/wit-bindgen
writeable	0.6.4	Unicode-3.0	https://github.com/unicode-org/icu4x
x11-dl	2.21.0	MIT	https://github.com/AltF02/x11-rs.git
x11rb	0.13.2	MIT OR Apache-2.0	https://github.com/psychon/x11rb
x11rb-protocol	0.13.2	MIT OR Apache-2.0	https://github.com/psychon/x11rb
xcursor	0.3.11	MIT	https://github.com/esposm03/xcursor-rs
xdg-home	1.3.0	MIT	https://github.com/zeenix/xdg-home
xkbcommon-dl	0.4.2	MIT	https://github.com/rust-windowing/xkbcommon-dl
xkeysym	0.2.1	MIT OR Apache-2.0 OR Zlib	https://github.com/notgull/xkeysym
xml-rs	0.8.29	MIT	https://github.com/kornelski/xml-rs
yoke	0.8.3	Unicode-3.0	https://github.com/unicode-org/icu4x
yoke-derive	0.8.2	Unicode-3.0	https://github.com/unicode-org/icu4x
zbus	4.4.0	MIT	https://github.com/dbus2/zbus/
zbus	5.19.0	MIT	https://github.com/z-galaxy/zbus/
zbus-lockstep	0.4.4	MIT	https://github.com/luukvanderduim/zbus-lockstep
zbus-lockstep-macros	0.4.4	MIT	https://github.com/luukvanderduim/zbus-lockstep
zbus_macros	4.4.0	MIT	https://github.com/dbus2/zbus/
zbus_macros	5.19.0	MIT	https://github.com/z-galaxy/zbus/
zbus_names	3.0.0	MIT	https://github.com/dbus2/zbus/
zbus_names	4.3.4	MIT	https://github.com/z-galaxy/zbus/
zbus_xml	4.0.0	MIT	https://github.com/dbus2/zbus/
zcheapstr	1.1.0	MIT	https://github.com/z-galaxy/zcheapstr/
zerocopy	0.8.56	BSD-2-Clause OR Apache-2.0 OR MIT	https://github.com/google/zerocopy
zerocopy-derive	0.8.56	BSD-2-Clause OR Apache-2.0 OR MIT	https://github.com/google/zerocopy
zerofrom	0.1.8	Unicode-3.0	https://github.com/unicode-org/icu4x
zerofrom-derive	0.1.7	Unicode-3.0	https://github.com/unicode-org/icu4x
zeroize	1.9.0	Apache-2.0 OR MIT	https://github.com/RustCrypto/utils
zerotrie	0.2.5	Unicode-3.0	https://github.com/unicode-org/icu4x
zerovec	0.11.8	Unicode-3.0	https://github.com/unicode-org/icu4x
zerovec-derive	0.11.6	Unicode-3.0	https://github.com/unicode-org/icu4x
zmij	1.0.23	MIT	https://github.com/dtolnay/zmij
zune-core	0.5.3	MIT OR Apache-2.0 OR Zlib	https://github.com/etemesi254/zune-image
zune-jpeg	0.5.15	MIT OR Apache-2.0 OR Zlib	https://github.com/etemesi254/zune-image/tree/dev/crates/zune-jpeg
zvariant	4.2.0	MIT	https://github.com/dbus2/zbus/
zvariant	5.15.0	MIT	https://github.com/z-galaxy/zbus/
zvariant_derive	4.2.0	MIT	https://github.com/dbus2/zbus/
zvariant_derive	5.15.0	MIT	https://github.com/z-galaxy/zbus/
zvariant_utils	2.1.0	MIT	https://github.com/dbus2/zbus/
zvariant_utils	4.2.0	MIT	https://github.com/z-galaxy/zbus/
